Product Name,License Type,Product Line (PL),Product Family,Unit of Measure,List Price (USD),PRP Number,Status,Price List
BMC Helix AIOps (German Regulated Cloud) - Advanced,SaaS,ITOM,ITOM SaaS,per resource unit - SaaS ,187.99,PRP-00015073,Generally Available,USA List Prices 
BMC Helix AIOps (German Regulated Cloud) - Standard,SaaS,ITOM,ITOM SaaS,per resource unit - SaaS ,128.65,PRP-00015074,Generally Available,USA List Prices 
BMC Helix AIOps MSP - Enterprise Package,SaaS,ITOM,ITOM SaaS,per resource unit - SaaS ,8,PRP-00015573,Controlled,USA List Prices 
BMC Helix AIOps OnPrem - Advanced,OPS,ITOM,ITOM On Prem,per resource unit ,131.99,PRP-00011248,Generally Available,USA List Prices 
BMC Helix AIOps OnPrem - Advanced,Perpetual,ITOM,ITOM On Prem,per resource unit ,3960,PRP-00011249,Controlled,USA List Prices 
BMC Helix AIOps OnPrem - Standard,OPS,ITOM,ITOM On Prem,per resource unit ,82.57,PRP-00011250,Generally Available,USA List Prices 
BMC Helix AIOps OnPrem - Standard,Perpetual,ITOM,ITOM On Prem,per resource unit ,2477,PRP-00011251,Controlled,USA List Prices 
BMC Helix Automation Console for Devices,SaaS,Other DSOM,Other SaaS,per asset - average device endpoint - SaaS ,4.69,PRP-00000998,Generally Available,USA List Prices 
BMC Helix Automation Console for Devices (FedRAMP),SaaS,Other DSOM,Other SaaS,per asset - average device endpoint - SaaS ,6.75,PRP-00000997,Generally Available,USA List Prices 
BMC Helix Automation Console for Servers,SaaS,Other DSOM,Other SaaS,per asset - average server endpoint - SaaS ,16.74,PRP-00000996,Generally Available,USA List Prices 
BMC Helix Automation Console for Servers (FedRAMP),SaaS,Other DSOM,Other SaaS,per asset - average server endpoint - SaaS ,24.13,PRP-00000999,Generally Available,USA List Prices 
BMC Helix Business Workflows - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,1004.25,PRP-00004303,Transition,USA List Prices 
BMC Helix Business Workflows - Additional Line of Business - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,334.75,PRP-00000135,Transition,USA List Prices 
BMC Helix Business Workflows - Additional Line of Business - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,167.38,PRP-00004133,Transition,USA List Prices 
BMC Helix Business Workflows - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,602.55,PRP-00000975,Transition,USA List Prices 
BMC Helix Business Workflows (German Regulated Cloud) - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,1205.09,PRP-00004312,Generally Available,USA List Prices 
BMC Helix Business Workflows (German Regulated Cloud) - Additional Line of Business - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,401.67,PRP-00000130,Generally Available,USA List Prices 
BMC Helix Business Workflows (German Regulated Cloud) - Additional Line of Business - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,289.22,PRP-00004129,Generally Available,USA List Prices 
BMC Helix Business Workflows (German Regulated Cloud) - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,723.05,PRP-00000979,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,1004.25,PRP-00004301,Transition,USA List Prices 
BMC Helix Business Workflows on AWS - Additional Line of Business - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,334.75,PRP-00000131,Transition,USA List Prices 
BMC Helix Business Workflows on AWS - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,602.55,PRP-00000974,Transition,USA List Prices 
